respondent_id,date,region,age_group,gender,education,device,Q1: Best programming language for beginners?,Q2: Preferred work mode?,Q3: Most important skill in 2024?,Q4: Preferred learning platform?,Q5: Job satisfaction level?
R0001,2024-01-01,South,55+,Female,Bachelor,Mobile,Python,Remote,Data Analytics,Udemy,Neutral
R0002,2024-01-01,North,55+,Female,Bachelor,Mobile,Python,Remote,Cloud Computing,Coursera,Satisfied
R0003,2024-01-01,West,18-24,Male,Bachelor,Mobile,Java,Remote,Cloud Computing,Udemy,Very Satisfied
R0004,2024-01-01,West,18-24,Male,PhD,Tablet,Java,Remote,AI/ML,Udemy,Satisfied
R0005,2024-01-02,North,35-44,Male,PhD,Mobile,JavaScript,Remote,Cloud Computing,Udemy,Very Satisfied
R0006,2024-01-02,Central,45-54,Non-binary,PhD,Desktop,C++,Remote,AI/ML,YouTube,Satisfied
R0007,2024-01-02,South,25-34,Female,Bachelor,Mobile,JavaScript,Remote,Data Analytics,YouTube,Very Dissatisfied
R0008,2024-01-02,West,18-24,Male,Master,Desktop,Java,Hybrid,AI/ML,Coursera,Very Satisfied
R0009,2024-01-03,Central,35-44,Male,High School,Mobile,Python,Hybrid,Cybersecurity,LinkedIn Learning,Satisfied
R0010,2024-01-03,North,45-54,Female,Bachelor,Desktop,Python,Hybrid,Cloud Computing,YouTube,Very Satisfied
R0011,2024-01-03,North,35-44,Male,Bachelor,Tablet,Python,Hybrid,Cybersecurity,YouTube,Very Satisfied
R0012,2024-01-03,South,18-24,Non-binary,Master,Desktop,C++,On-site,AI/ML,LinkedIn Learning,Satisfied
R0013,2024-01-04,West,55+,Male,High School,Mobile,Python,On-site,Data Analytics,YouTube,Satisfied
R0014,2024-01-04,South,25-34,Male,Bachelor,Tablet,Python,Hybrid,Cybersecurity,Coursera,Very Dissatisfied
R0015,2024-01-04,Central,25-34,Female,Bachelor,Mobile,Python,Hybrid,Cloud Computing,YouTube,Satisfied
R0016,2024-01-04,Central,25-34,Male,Bachelor,Tablet,Python,Hybrid,Cybersecurity,YouTube,Neutral
R0017,2024-01-05,South,35-44,Female,Bachelor,Mobile,C++,Remote,AI/ML,YouTube,Neutral
R0018,2024-01-05,West,18-24,Female,Bachelor,Desktop,Python,Hybrid,Cloud Computing,Others,Very Satisfied
R0019,2024-01-05,South,18-24,Non-binary,Master,Mobile,JavaScript,On-site,Cloud Computing,Coursera,Satisfied
R0020,2024-01-05,North,55+,Female,Master,Mobile,Python,Hybrid,Data Analytics,LinkedIn Learning,Neutral
R0021,2024-01-06,West,18-24,Male,PhD,Desktop,Python,Remote,Cybersecurity,YouTube,Very Satisfied
R0022,2024-01-06,East,35-44,Female,Bachelor,Desktop,Python,Remote,Cybersecurity,Udemy,Dissatisfied
R0023,2024-01-06,West,35-44,Male,Bachelor,Mobile,Python,On-site,Cloud Computing,LinkedIn Learning,Neutral
R0024,2024-01-06,West,35-44,Female,Bachelor,Mobile,Java,Remote,AI/ML,Udemy,Very Satisfied
R0025,2024-01-07,Central,55+,Female,Bachelor,Mobile,C++,Hybrid,Blockchain,Others,Dissatisfied
R0026,2024-01-07,South,25-34,Female,Bachelor,Mobile,JavaScript,On-site,Cybersecurity,Udemy,Very Satisfied
R0027,2024-01-07,West,55+,Male,Bachelor,Desktop,Java,Hybrid,Cybersecurity,Coursera,Satisfied
R0028,2024-01-07,West,45-54,Female,PhD,Mobile,JavaScript,On-site,Cybersecurity,Udemy,Neutral
R0029,2024-01-08,Central,25-34,Male,High School,Desktop,Python,Hybrid,Cloud Computing,YouTube,Neutral
R0030,2024-01-08,North,18-24,Female,Bachelor,Mobile,JavaScript,Hybrid,AI/ML,Udemy,Very Satisfied
R0031,2024-01-08,North,35-44,Female,Master,Desktop,Others,Hybrid,AI/ML,LinkedIn Learning,Satisfied
R0032,2024-01-08,East,18-24,Male,PhD,Desktop,JavaScript,Hybrid,AI/ML,YouTube,Satisfied
R0033,2024-01-09,East,45-54,Female,Bachelor,Tablet,Java,Hybrid,Cybersecurity,Coursera,Satisfied
R0034,2024-01-09,South,45-54,Male,High School,Mobile,Python,On-site,Cybersecurity,Coursera,Very Satisfied
R0035,2024-01-09,East,25-34,Male,Bachelor,Mobile,JavaScript,Hybrid,AI/ML,Coursera,Neutral
R0036,2024-01-09,East,45-54,Female,High School,Mobile,JavaScript,Remote,Cloud Computing,Others,Neutral
R0037,2024-01-10,South,35-44,Male,Bachelor,Tablet,Python,On-site,Data Analytics,YouTube,Very Satisfied
R0038,2024-01-10,North,18-24,Male,Master,Mobile,Python,On-site,AI/ML,LinkedIn Learning,Satisfied
R0039,2024-01-10,North,35-44,Female,Master,Desktop,Java,Remote,AI/ML,Udemy,Neutral
R0040,2024-01-10,Central,25-34,Male,Master,Mobile,Others,On-site,Cloud Computing,Udemy,Neutral
R0041,2024-01-11,North,55+,Female,Master,Mobile,C++,Hybrid,AI/ML,Others,Very Satisfied
R0042,2024-01-11,South,55+,Non-binary,Bachelor,Desktop,JavaScript,Remote,AI/ML,Udemy,Neutral
R0043,2024-01-11,West,45-54,Male,Bachelor,Mobile,JavaScript,Hybrid,Data Analytics,Coursera,Very Satisfied
R0044,2024-01-11,North,45-54,Female,High School,Mobile,JavaScript,Remote,Data Analytics,Udemy,Very Satisfied
R0045,2024-01-12,North,55+,Male,Bachelor,Desktop,Others,On-site,Cybersecurity,Coursera,Very Satisfied
R0046,2024-01-12,West,35-44,Male,PhD,Mobile,JavaScript,Remote,Cloud Computing,YouTube,Very Satisfied
R0047,2024-01-12,North,35-44,Female,Bachelor,Tablet,Python,Remote,Data Analytics,YouTube,Very Dissatisfied
R0048,2024-01-12,North,55+,Male,PhD,Mobile,Others,Remote,Cloud Computing,Others,Satisfied
R0049,2024-01-13,West,35-44,Male,Master,Desktop,C++,Remote,AI/ML,Others,Dissatisfied
R0050,2024-01-13,East,35-44,Male,High School,Mobile,Python,Hybrid,AI/ML,Others,Very Dissatisfied
R0051,2024-01-13,West,35-44,Male,Master,Desktop,Python,On-site,Data Analytics,Others,Neutral
R0052,2024-01-13,West,25-34,Non-binary,Master,Mobile,Python,Remote,Data Analytics,Others,Very Satisfied
R0053,2024-01-14,East,25-34,Prefer not to say,Master,Desktop,Python,Hybrid,AI/ML,YouTube,Dissatisfied
R0054,2024-01-14,West,55+,Prefer not to say,Bachelor,Desktop,Others,On-site,AI/ML,Coursera,Very Satisfied
R0055,2024-01-14,Central,35-44,Male,Master,Desktop,Python,Remote,Cybersecurity,Coursera,Neutral
R0056,2024-01-14,East,45-54,Female,Bachelor,Desktop,Python,Remote,AI/ML,Udemy,Neutral
